context,variant,control,ground_truth,estimate,absolute_error,brier,log_loss,path_precision,path_recall,path_f1
it_ot_maintenance,missing_50,change_validation,0.10921666666666667,0.10642,0.0027966666666666695,0.2174283148148147,0.6253589435755693,0.8161394161394161,0.6923303358867794,0.7180215784441784
it_ot_maintenance,missing_50,jump_host_enforcement,0.14775,0.1465,0.0012500000000000011,0.2174283148148147,0.6253589435755693,0.8161394161394161,0.6923303358867794,0.7180215784441784
it_ot_maintenance,missing_50,signed_change_package,0.14773333333333333,0.15888,0.011146666666666666,0.2174283148148147,0.6253589435755693,0.8161394161394161,0.6923303358867794,0.7180215784441784
it_ot_maintenance,missing_50,command_allowlist,0.11151666666666667,0.10814,0.0033766666666666667,0.2174283148148147,0.6253589435755693,0.8161394161394161,0.6923303358867794,0.7180215784441784
it_ot_maintenance,human_process_unobserved,change_validation,0.10921666666666667,0.0,0.10921666666666667,0.2176970037037037,0.6258968860115472,1.0,0.7022407814740482,0.7983068403221577
it_ot_maintenance,human_process_unobserved,jump_host_enforcement,0.14775,0.12798,0.019769999999999982,0.2176970037037037,0.6258968860115472,1.0,0.7022407814740482,0.7983068403221577
it_ot_maintenance,human_process_unobserved,signed_change_package,0.14773333333333333,0.1338,0.013933333333333325,0.2176970037037037,0.6258968860115472,1.0,0.7022407814740482,0.7983068403221577
it_ot_maintenance,human_process_unobserved,command_allowlist,0.11151666666666667,0.09168,0.01983666666666667,0.2176970037037037,0.6258968860115472,1.0,0.7022407814740482,0.7983068403221577
it_ot_maintenance,structural_edge_drop,change_validation,0.10921666666666667,0.10846,0.0007566666666666694,0.2173299037037037,0.6252550597487316,1.0,1.0,1.0
it_ot_maintenance,structural_edge_drop,jump_host_enforcement,0.14775,0.15056,0.002810000000000007,0.2173299037037037,0.6252550597487316,1.0,1.0,1.0
it_ot_maintenance,structural_edge_drop,signed_change_package,0.14773333333333333,0.14614,0.0015933333333333355,0.2173299037037037,0.6252550597487316,1.0,1.0,1.0
it_ot_maintenance,structural_edge_drop,command_allowlist,0.11151666666666667,0.09926,0.012256666666666666,0.2173299037037037,0.6252550597487316,1.0,1.0,1.0
